HomeTeam,AwayTeam,B365H,B365D,B365A,FTR,HomeTeam_Code,AwayTeam_Code,FTR_Code
Arsenal,West Brom,1.44,4.5,7.0,H,0,17,2
Fulham,Burnley,2.2,3.4,3.3,A,7,3,0
Man United,Leicester,2.5,3.4,2.8,A,12,9,0
Southampton,Crystal Palace,2.05,3.6,3.5,H,15,5,2
Chelsea,Arsenal,1.65,4.0,5.0,A,4,0,0
Aston Villa,Everton,2.7,3.4,2.6,D,1,6,1
Man United,Liverpool,3.0,3.75,2.2,A,12,10,0
Newcastle,Man City,11.0,6.0,1.25,A,13,11,0
Burnley,Leeds,3.2,3.75,2.1,A,3,8,0
Southampton,Fulham,2.0,3.6,3.6,H,15,7,2
Brighton,West Ham,2.9,3.6,2.3,D,2,18,1
Crystal Palace,Aston Villa,3.0,3.6,2.25,H,5,1,2
Tottenham,Wolves,1.5,4.33,6.5,H,16,19,2
West Brom,Liverpool,12.0,6.5,1.22,A,17,10,0
Everton,Sheffield United,1.36,4.75,8.5,A,6,14,0
Man United,Fulham,1.28,6.0,9.0,D,12,7,1
Southampton,Leeds,2.55,3.9,2.5,A,15,8,0
Brighton,Man City,7.0,4.5,1.45,H,2,11,2
Chelsea,Leicester,1.7,3.75,5.0,H,4,9,2
Everton,Wolves,1.85,3.6,4.2,H,6,19,2
Newcastle,Sheffield United,1.72,3.8,4.75,H,13,14,2
Tottenham,Aston Villa,1.5,4.5,6.0,A,16,1,0
Crystal Palace,Arsenal,6.0,4.5,1.5,A,5,0,0
Burnley,Liverpool,11.0,7.0,1.22,A,3,10,0
West Brom,West Ham,5.0,4.33,1.6,A,17,18,0
Arsenal,Brighton,1.57,4.33,5.25,H,0,2,2
Aston Villa,Chelsea,6.5,4.6,1.45,H,1,4,2
Fulham,Newcastle,2.05,3.8,3.3,A,7,13,0
Leeds,West Brom,1.4,5.25,6.5,H,8,17,2
Leicester,Tottenham,2.0,4.0,3.3,A,9,16,0
Liverpool,Crystal Palace,1.14,8.5,15.0,H,10,5,2
Man City,Everton,1.44,5.0,6.5,H,11,6,2
Sheffield United,Burnley,2.8,3.6,2.4,H,14,3,2
West Ham,Southampton,1.65,4.0,5.0,H,18,15,2
Wolves,Man United,2.5,3.5,2.7,A,19,12,0
